config,rrf_k,weights_dense_lexical,precision_at_k,recall_at_k,mrr
densa-pura,-,-,0.3700,0.1259,0.5708
bm25-pura,-,-,0.3400,0.1038,0.6000
hybrid,5,0.5/0.5,0.3800,0.1090,0.5825
hybrid,5,0.7/0.3,0.3900,0.1382,0.5908
hybrid,5,0.3/0.7,0.3300,0.1032,0.6250
hybrid,10,0.5/0.5,0.3300,0.0927,0.5800
hybrid,10,0.7/0.3,0.3600,0.1314,0.5333
hybrid,10,0.3/0.7,0.3300,0.1013,0.6375
hybrid,20,0.5/0.5,0.3000,0.0851,0.5200
hybrid,20,0.7/0.3,0.3400,0.1273,0.5450
hybrid,20,0.3/0.7,0.3400,0.1045,0.6367
hybrid,40,0.5/0.5,0.3000,0.0851,0.5200
hybrid,40,0.7/0.3,0.2700,0.0981,0.4700
hybrid,40,0.3/0.7,0.3000,0.0891,0.5950
hybrid,60,0.5/0.5,0.3000,0.0851,0.5200
hybrid,60,0.7/0.3,0.2700,0.0981,0.4700
hybrid,60,0.3/0.7,0.3000,0.0891,0.5950
